"subjectid","featurename","activityname","meanvalue"
"1","fBodyAccMag-mean()","WALKING_DOWNSTAIRS",0.466039525
"1","fBodyAccMag-meanFreq()","WALKING_DOWNSTAIRS",-7.260924
"1","fBodyAccMag-std()","WALKING_DOWNSTAIRS",-6.3955036
"1","fBodyBodyAccJerkMag-mean()","WALKING_DOWNSTAIRS",0.607080322222222
"1","fBodyBodyAccJerkMag-meanFreq()","WALKING_DOWNSTAIRS",-0.348188466666667
"1","fBodyBodyAccJerkMag-std()","WALKING_DOWNSTAIRS",-4.02627276
"1","fBodyBodyGyroJerkMag-mean()","WALKING_DOWNSTAIRS",-4.9707227
"1","fBodyBodyGyroJerkMag-meanFreq()","WALKING_DOWNSTAIRS",1.51338685
"1","fBodyBodyGyroMag-mean()","WALKING_DOWNSTAIRS",-2.4665411
"1","fBodyBodyGyroMag-meanFreq()","WALKING_DOWNSTAIRS",-1.2291207
"1","fBodyGyro-mean()-X","WALKING_DOWNSTAIRS",6.81370745
"1","fBodyGyro-mean()-Y","WALKING_DOWNSTAIRS",-3.16619486
"1","fBodyGyro-mean()-Z","WALKING_DOWNSTAIRS",-7.80350285
"1","fBodyGyro-meanFreq()-X","WALKING_DOWNSTAIRS",0.731396284615385
"1","fBodyGyro-meanFreq()-Y","WALKING_DOWNSTAIRS",-0.5519383
"1","fBodyGyro-meanFreq()-Z","WALKING_DOWNSTAIRS",2.7761466
"1","fBodyGyro-std()-Y","WALKING_DOWNSTAIRS",-1.37074819090909
"1","tBodyAcc-mean()-Y","WALKING_DOWNSTAIRS",-2.20318283833333
"1","tBodyAcc-mean()-Z","WALKING_DOWNSTAIRS",-8.6999005
"1","tBodyAcc-std()-X","WALKING_DOWNSTAIRS",-2.39912066666667
"1","tBodyAcc-std()-Y","WALKING_DOWNSTAIRS",-1.08839349166667
"1","tBodyAcc-std()-Z","WALKING_DOWNSTAIRS",3.8097232125
"1","tBodyAccJerk-mean()-X","WALKING_DOWNSTAIRS",-2.696453525
"1","tBodyAccJerk-mean()-Y","WALKING_DOWNSTAIRS",4.58891481754386
"1","tBodyAccJerk-mean()-Z","WALKING_DOWNSTAIRS",-1.00213578953488
"1","tBodyAccJerk-std()-X","WALKING_DOWNSTAIRS",5.09778398333333
"1","tBodyAccJerk-std()-Y","WALKING_DOWNSTAIRS",0.126664325
"1","tBodyAccJerkMag-mean()","WALKING_DOWNSTAIRS",-6.2663211
"1","tBodyAccJerkMag-std()","WALKING_DOWNSTAIRS",-1.93703523333333
"1","tBodyAccMag-mean()","WALKING_DOWNSTAIRS",2.43512556666667
"1","tBodyAccMag-std()","WALKING_DOWNSTAIRS",-1.063921575
"1","tBodyGyro-mean()-X","WALKING_DOWNSTAIRS",-1.68536273333333
"1","tBodyGyro-mean()-Y","WALKING_DOWNSTAIRS",3.29289556
"1","tBodyGyro-mean()-Z","WALKING_DOWNSTAIRS",4.74320411
"1","tBodyGyro-std()-Y","WALKING_DOWNSTAIRS",2.13628036
"1","tBodyGyro-std()-Z","WALKING_DOWNSTAIRS",1.5036901
"1","tBodyGyroJerk-mean()-X","WALKING_DOWNSTAIRS",1.81590686666667
"1","tBodyGyroJerk-mean()-Y","WALKING_DOWNSTAIRS",-2.15481998181818
"1","tBodyGyroJerk-mean()-Z","WALKING_DOWNSTAIRS",3.35943073333333
"1","tBodyGyroJerk-std()-Z","WALKING_DOWNSTAIRS",-4.3588759
"1","tBodyGyroMag-mean()","WALKING_DOWNSTAIRS",-3.3518192
"1","tBodyGyroMag-std()","WALKING_DOWNSTAIRS",1.4105354
"1","tGravityAcc-mean()-Z","WALKING_DOWNSTAIRS",-1.87725526666667
"1","tGravityAccMag-mean()","WALKING_DOWNSTAIRS",2.43512556666667
"1","tGravityAccMag-std()","WALKING_DOWNSTAIRS",-1.063921575
"1","fBodyAcc-mean()-X","WALKING_UPSTAIRS",-0.132843962068966
"1","fBodyAcc-mean()-Y","WALKING_UPSTAIRS",0.2550208953125
"1","fBodyAcc-mean()-Z","WALKING_UPSTAIRS",-3.481319575
"1","fBodyAcc-meanFreq()-X","WALKING_UPSTAIRS",1.23907598513514
"1","fBodyAcc-meanFreq()-Y","WALKING_UPSTAIRS",0.65373976097561
"1","fBodyAcc-meanFreq()-Z","WALKING_UPSTAIRS",0.549545063235294
"1","fBodyAcc-std()-X","WALKING_UPSTAIRS",1.45647230869565
"1","fBodyAcc-std()-Y","WALKING_UPSTAIRS",1.47156291559633
"1","fBodyAcc-std()-Z","WALKING_UPSTAIRS",4.42483874193548
"1","fBodyAccJerk-mean()-X","WALKING_UPSTAIRS",-2.52110419375
"1","fBodyAccJerk-mean()-Y","WALKING_UPSTAIRS",-1.21540432166667
"1","fBodyAccJerk-mean()-Z","WALKING_UPSTAIRS",0.0988685
"1","fBodyAccJerk-meanFreq()-X","WALKING_UPSTAIRS",-1.34190860689655
"1","fBodyAccJerk-meanFreq()-Y","WALKING_UPSTAIRS",1.13810144807692
"1","fBodyAccJerk-meanFreq()-Z","WALKING_UPSTAIRS",1.10151551168831
"1","fBodyAccJerk-std()-X","WALKING_UPSTAIRS",-3.02458660612245
"1","fBodyAccJerk-std()-Y","WALKING_UPSTAIRS",1.4395401
"1","fBodyAccMag-mean()","WALKING_UPSTAIRS",-1.80244773090909
"1","fBodyAccMag-meanFreq()","WALKING_UPSTAIRS",1.01709912597403
"1","fBodyAccMag-std()","WALKING_UPSTAIRS",-0.424344655555556
"1","fBodyBodyAccJerkMag-mean()","WALKING_UPSTAIRS",-2.19224057419355
"1","fBodyBodyAccJerkMag-meanFreq()","WALKING_UPSTAIRS",1.1221396
"1","fBodyBodyAccJerkMag-std()","WALKING_UPSTAIRS",-3.27460532807018
"1","fBodyBodyGyroJerkMag-mean()","WALKING_UPSTAIRS",-3.196884575
"1","fBodyBodyGyroJerkMag-meanFreq()","WALKING_UPSTAIRS",3.92179143055556
"1","fBodyBodyGyroJerkMag-std()","WALKING_UPSTAIRS",-5.50926346666667
"1","fBodyBodyGyroMag-mean()","WALKING_UPSTAIRS",-3.79578835185185
"1","fBodyBodyGyroMag-meanFreq()","WALKING_UPSTAIRS",0.295921034285714
"1","fBodyBodyGyroMag-std()","WALKING_UPSTAIRS",-2.40960736
"1","fBodyGyro-mean()-X","WALKING_UPSTAIRS",-3.42744856666667
"1","fBodyGyro-mean()-Y","WALKING_UPSTAIRS",-2.54332797857143
"1","fBodyGyro-mean()-Z","WALKING_UPSTAIRS",-1.59285056538462
"1","fBodyGyro-meanFreq()-X","WALKING_UPSTAIRS",0.107089176851852
"1","fBodyGyro-meanFreq()-Y","WALKING_UPSTAIRS",-1.80816925673077
"1","fBodyGyro-meanFreq()-Z","WALKING_UPSTAIRS",-1.20983852394366
"1","fBodyGyro-std()-X","WALKING_UPSTAIRS",-8.83569795
"1","fBodyGyro-std()-Y","WALKING_UPSTAIRS",-1.46623558101266
"1","fBodyGyro-std()-Z","WALKING_UPSTAIRS",-3.7110815
"1","tBodyAcc-mean()-X","WALKING_UPSTAIRS",-3.16614836
"1","tBodyAcc-mean()-Y","WALKING_UPSTAIRS",-1.98316986
"1","tBodyAcc-mean()-Z","WALKING_UPSTAIRS",-5.99932291978022
"1","tBodyAcc-std()-X","WALKING_UPSTAIRS",1.05281996333333
"1","tBodyAcc-std()-Y","WALKING_UPSTAIRS",1.91111139885057
"1","tBodyAcc-std()-Z","WALKING_UPSTAIRS",-1.39341048478261
"1","tBodyAccJerk-mean()-X","WALKING_UPSTAIRS",5.52172231842105
"1","tBodyAccJerk-mean()-Y","WALKING_UPSTAIRS",0.823435644805195
"1","tBodyAccJerk-mean()-Z","WALKING_UPSTAIRS",0.299725564655172
"1","tBodyAccJerk-std()-X","WALKING_UPSTAIRS",-1.79948316451613
"1","tBodyAccJerk-std()-Y","WALKING_UPSTAIRS",0.74303845
"1","tBodyAccJerk-std()-Z","WALKING_UPSTAIRS",-5.2455684
"1","tBodyAccJerkMag-mean()","WALKING_UPSTAIRS",-4.09427215510204
"1","tBodyAccJerkMag-std()","WALKING_UPSTAIRS",-2.22206992878788
"1","tBodyAccMag-mean()","WALKING_UPSTAIRS",-3.69029274938272
"1","tBodyAccMag-std()","WALKING_UPSTAIRS",-0.749450202857143
"1","tBodyGyro-mean()-X","WALKING_UPSTAIRS",-2.38147078027523
"1","tBodyGyro-mean()-Y","WALKING_UPSTAIRS",-4.69517478502674
"1","tBodyGyro-mean()-Z","WALKING_UPSTAIRS",5.42799338763441
"1","tBodyGyro-std()-X","WALKING_UPSTAIRS",-7.87388983333333
"1","tBodyGyro-std()-Y","WALKING_UPSTAIRS",-1.42080823660714
"1","tBodyGyro-std()-Z","WALKING_UPSTAIRS",-6.50368154
"1","tBodyGyroJerk-mean()-X","WALKING_UPSTAIRS",-5.97318830581395
"1","tBodyGyroJerk-mean()-Y","WALKING_UPSTAIRS",-3.1228434685446
"1","tBodyGyroJerk-mean()-Z","WALKING_UPSTAIRS",-3.34806274520548
"1","tBodyGyroJerk-std()-X","WALKING_UPSTAIRS",-7.2800818
"1","tBodyGyroJerk-std()-Y","WALKING_UPSTAIRS",-4.69753753636364
"1","tBodyGyroJerk-std()-Z","WALKING_UPSTAIRS",-5.0008326
"1","tBodyGyroJerkMag-mean()","WALKING_UPSTAIRS",-5.76522735
"1","tBodyGyroJerkMag-std()","WALKING_UPSTAIRS",-3.11450208571429
"1","tBodyGyroMag-mean()","WALKING_UPSTAIRS",-3.28387285272727
"1","tBodyGyroMag-std()","WALKING_UPSTAIRS",-3.52719383076923
"1","tGravityAcc-mean()-X","WALKING_UPSTAIRS",-4.19392636
"1","tGravityAcc-mean()-Y","WALKING_UPSTAIRS",0.630072988888889
"1","tGravityAcc-mean()-Z","WALKING_UPSTAIRS",-3.90352928988764
"1","tGravityAcc-std()-Y","WALKING_UPSTAIRS",6.9459782
"1","tGravityAcc-std()-Z","WALKING_UPSTAIRS",4.1165989
"1","tGravityAccMag-mean()","WALKING_UPSTAIRS",-3.69029274938272
"1","tGravityAccMag-std()","WALKING_UPSTAIRS",-0.749450202857143
"10","fBodyAcc-meanFreq()-Z","LAYING",6.3475725
"10","fBodyAcc-meanFreq()-X","SITTING",1.41927425
"10","fBodyAcc-meanFreq()-Z","SITTING",-2.70249005
"10","fBodyAcc-std()-Y","SITTING",-0.4771151
"10","fBodyAccJerk-mean()-Y","SITTING",9.3788813
"10","fBodyAccJerk-meanFreq()-X","SITTING",3.92737025
"10","fBodyAccJerk-meanFreq()-Y","SITTING",2.7217615
"10","fBodyAccJerk-std()-X","SITTING",3.22969895
"10","fBodyBodyAccJerkMag-meanFreq()","SITTING",-0.26560495
"10","fBodyBodyAccJerkMag-std()","SITTING",5.9069293
"10","fBodyGyro-mean()-X","SITTING",9.5294199
"10","fBodyGyro-meanFreq()-X","SITTING",-5.5895168
"10","tBodyAcc-mean()-Y","SITTING",2.20335145
"10","tBodyAcc-std()-Z","SITTING",9.4493075
"10","tBodyAccJerk-mean()-Y","SITTING",-0.7491731
"10","tBodyAccJerk-mean()-Z","SITTING",-1.22882932142857
"10","tBodyAccJerk-std()-Y","SITTING",-1.3275533
"10","tBodyAccJerkMag-mean()","SITTING",4.3546804
"10","tBodyAccMag-mean()","SITTING",-6.6524986
"10","tBodyGyro-mean()-X","SITTING",-6.7720321
"10","tBodyGyro-mean()-Y","SITTING",-6.1130714
"10","tBodyGyro-mean()-Z","SITTING",1.5204815
"10","tBodyGyroJerk-mean()-Y","SITTING",1.3153915
"10","tBodyGyroJerk-mean()-Z","SITTING",4.3290124
"10","tBodyGyroMag-std()","SITTING",-5.2937826
"10","tGravityAccMag-mean()","SITTING",-6.6524986
"10","fBodyBodyGyroMag-meanFreq()","STANDING",6.3290687
"10","tBodyAccJerkMag-mean()","STANDING",-5.0999809
"10","tBodyAccMag-std()","STANDING",-1.0385076
"10","tBodyGyro-mean()-Y","STANDING",5.7846267
"10","tGravityAcc-mean()-Z","STANDING",-6.2494123
"10","tGravityAccMag-std()","STANDING",-1.0385076
"10","fBodyAcc-mean()-X","WALKING",-6.09075495703125
"10","fBodyAcc-mean()-Y","WALKING",-6.18659126538462
"10","fBodyAcc-mean()-Z","WALKING",-6.78670194664311
"10","fBodyAcc-meanFreq()-X","WALKING",-2.09019687045455
"10","fBodyAcc-meanFreq()-Y","WALKING",1.54463192349727
"10","fBodyAcc-meanFreq()-Z","WALKING",1.79083595510204
"10","fBodyAcc-std()-X","WALKING",-5.76637676218182
"10","fBodyAcc-std()-Y","WALKING",-6.83441054429825
"10","fBodyAcc-std()-Z","WALKING",-6.59195875017921
"10","fBodyAccJerk-mean()-X","WALKING",-6.12190732137405
"10","fBodyAccJerk-mean()-Y","WALKING",-6.1243990490566
"10","fBodyAccJerk-mean()-Z","WALKING",-7.36782921805556
"10","fBodyAccJerk-meanFreq()-X","WALKING",-0.377835880737705
"10","fBodyAccJerk-meanFreq()-Y","WALKING",-1.92989188026316
"10","fBodyAccJerk-meanFreq()-Z","WALKING",0.0886631169902913
"10","fBodyAccJerk-std()-X","WALKING",-6.33095856821705
"10","fBodyAccJerk-std()-Y","WALKING",-6.1980879
"10","fBodyAccJerk-std()-Z","WALKING",-7.7916817122449
"10","fBodyAccMag-mean()","WALKING",-5.97882614063745
"10","fBodyAccMag-meanFreq()","WALKING",2.26114614537037
"10","fBodyAccMag-std()","WALKING",-6.81755086470588
"10","fBodyBodyAccJerkMag-mean()","WALKING",-6.61006362
"10","fBodyBodyAccJerkMag-meanFreq()","WALKING",2.00570431594828
"10","fBodyBodyAccJerkMag-std()","WALKING",-6.56443298299595
"10","fBodyBodyGyroJerkMag-mean()","WALKING",-7.67780095068027
"10","fBodyBodyGyroJerkMag-meanFreq()","WALKING",2.05124139953917
"10","fBodyBodyGyroJerkMag-std()","WALKING",-7.87144257176871
"10","fBodyBodyGyroMag-mean()","WALKING",-6.69733426103448
"10","fBodyBodyGyroMag-meanFreq()","WALKING",0.119580833936652
"10","fBodyBodyGyroMag-std()","WALKING",-6.91456558480565
"10","fBodyGyro-mean()-X","WALKING",-6.53373084244604
"10","fBodyGyro-mean()-Y","WALKING",-6.56805745103448
"10","fBodyGyro-mean()-Z","WALKING",-6.76857672459016
"10","fBodyGyro-meanFreq()-X","WALKING",-0.865993393150685
"10","fBodyGyro-meanFreq()-Y","WALKING",-1.19926370787037
"10","fBodyGyro-meanFreq()-Z","WALKING",-0.652874631052632
"10","fBodyGyro-std()-X","WALKING",-7.16095604401408
"10","fBodyGyro-std()-Y","WALKING",-6.08780026788321
"10","fBodyGyro-std()-Z","WALKING",-6.85425114729242
"10","tBodyAcc-mean()-X","WALKING",2.78180187910959
"10","tBodyAcc-mean()-Y","WALKING",-1.052919
"10","tBodyAcc-mean()-Z","WALKING",-1.26291262168142
"10","tBodyAcc-std()-X","WALKING",-5.79263151580882
"10","tBodyAcc-std()-Y","WALKING",-6.34985053290043
"10","tBodyAcc-std()-Z","WALKING",-6.60756471172161
"10","tBodyAccJerk-mean()-X","WALKING",1.01438888632479
"10","tBodyAccJerk-mean()-Y","WALKING",0.205012865263158
"10","tBodyAccJerk-mean()-Z","WALKING",-0.335947514130435
"10","tBodyAccJerk-std()-X","WALKING",-6.05627288007812
"10","tBodyAccJerk-std()-Y","WALKING",-6.31657548674699
"10","tBodyAccJerk-std()-Z","WALKING",-7.58025934261168
"10","tBodyAccJerkMag-mean()","WALKING",-6.767499556
"10","tBodyAccJerkMag-std()","WALKING",-6.52526200083333
"10","tBodyAccMag-mean()","WALKING",-6.03947951198347
"10","tBodyAccMag-std()","WALKING",-5.92751224185185
"10","tBodyGyro-mean()-X","WALKING",-0.0161668988372093
"10","tBodyGyro-mean()-Y","WALKING",-1.45660951619048
"10","tBodyGyro-mean()-Z","WALKING",1.44940738265306
"10","tBodyGyro-std()-X","WALKING",-7.01287266276596
"10","tBodyGyro-std()-Y","WALKING",-6.68603037038462
"10","tBodyGyro-std()-Z","WALKING",-6.28287885340502
"10","tBodyGyroJerk-mean()-X","WALKING",-1.53800307222222
"10","tBodyGyroJerk-mean()-Y","WALKING",-0.725767024731183
"10","tBodyGyroJerk-mean()-Z","WALKING",-0.973480393406593
"10","tBodyGyroJerk-std()-X","WALKING",-7.0223067890785
"10","tBodyGyroJerk-std()-Y","WALKING",-7.68641779047619
"10","tBodyGyroJerk-std()-Z","WALKING",-6.99889456979167
"10","tBodyGyroJerkMag-mean()","WALKING",-7.34465805340136
"10","tBodyGyroJerkMag-std()","WALKING",-7.68821828979592
"10","tBodyGyroMag-mean()","WALKING",-6.50878808893617
"10","tBodyGyroMag-std()","WALKING",-6.64549674746377
"10","tGravityAcc-mean()-X","WALKING",6.41686978532423
"10","tGravityAcc-mean()-Y","WALKING",-0.97407355560166
"10","tGravityAcc-mean()-Z","WALKING",0.861904387735849
"10","tGravityAcc-std()-X","WALKING",-9.65808126428571
"10","tGravityAcc-std()-Y","WALKING",-9.5452407255102
"10","tGravityAcc-std()-Z","WALKING",-9.41996185358362
"10","tGravityAccMag-mean()","WALKING",-6.03947951198347
"10","tGravityAccMag-std()","WALKING",-5.92751224185185
"10","fBodyAcc-mean()-Y","WALKING_DOWNSTAIRS",1.4676103625
"10","fBodyAcc-mean()-Z","WALKING_DOWNSTAIRS",-1.0867442
"10","fBodyAcc-meanFreq()-X","WALKING_DOWNSTAIRS",-1.99198588333333
"10","fBodyAcc-meanFreq()-Y","WALKING_DOWNSTAIRS",-0.635794
"10","fBodyAcc-meanFreq()-Z","WALKING_DOWNSTAIRS",-2.86201322857143
"10","fBodyAcc-std()-X","WALKING_DOWNSTAIRS",1.8456084
"10","fBodyAcc-std()-Y","WALKING_DOWNSTAIRS",0.715189171428572
"10","fBodyAcc-std()-Z","WALKING_DOWNSTAIRS",-1.4456947
"10","fBodyAccJerk-mean()-X","WALKING_DOWNSTAIRS",2.5390436
"10","fBodyAccJerk-mean()-Y","WALKING_DOWNSTAIRS",0.5427114
"10","fBodyAccJerk-mean()-Z","WALKING_DOWNSTAIRS",-5.49062415
"10","fBodyAccJerk-meanFreq()-X","WALKING_DOWNSTAIRS",3.9140427
"10","fBodyAccJerk-meanFreq()-Y","WALKING_DOWNSTAIRS",8.7353497
"10","fBodyAccJerk-meanFreq()-Z","WALKING_DOWNSTAIRS",0.949421416666667
"10","fBodyAccJerk-std()-X","WALKING_DOWNSTAIRS",-1.090067
"10","fBodyAccJerk-std()-Y","WALKING_DOWNSTAIRS",-8.0428407
"10","fBodyAccMag-mean()","WALKING_DOWNSTAIRS",4.8612732
"10","fBodyAccMag-meanFreq()","WALKING_DOWNSTAIRS",3.0280423625
"10","fBodyAccMag-std()","WALKING_DOWNSTAIRS",6.9324279
"10","fBodyBodyAccJerkMag-mean()","WALKING_DOWNSTAIRS",1.26534066666667
"10","fBodyBodyAccJerkMag-meanFreq()","WALKING_DOWNSTAIRS",-0.40824274
"10","fBodyBodyAccJerkMag-std()","WALKING_DOWNSTAIRS",-0.0905299624999999
"10","fBodyBodyGyroJerkMag-meanFreq()","WALKING_DOWNSTAIRS",-2.67188221
"10","fBodyBodyGyroMag-meanFreq()","WALKING_DOWNSTAIRS",5.52225547142857
"10","fBodyGyro-mean()-X","WALKING_DOWNSTAIRS",-9.6934569
"10","fBodyGyro-mean()-Z","WALKING_DOWNSTAIRS",-1.73599703333333
"10","fBodyGyro-meanFreq()-X","WALKING_DOWNSTAIRS",-2.34663005555556
"10","fBodyGyro-meanFreq()-Y","WALKING_DOWNSTAIRS",-0.42643095
"10","fBodyGyro-meanFreq()-Z","WALKING_DOWNSTAIRS",1.41911205555556
